TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9927  1.61996E+00  1.60857E+00  7.86958E-01  2.25931E+00  5.17017E-02  1.42547E-01  5.11461E-03  1.28450E-01  2.60084E-02 -2.03655E-02  1.82325E-01 -3.75158E-02 -4.78085E-03 -1.13500E-02  1.67693E-01   -2354.11661277135
        -9926  1.55582E+00  1.53931E+00  6.76554E-01  2.28562E+00  5.57268E-02  1.51294E-01 -3.97974E-02  1.59788E-01  1.60551E-02  2.45540E-03  1.22813E-01 -6.60581E-03 -2.81298E-02  1.84661E-02  1.52611E-01   -2284.35622802704
        -9925  1.64177E+00  1.59444E+00  7.25831E-01  2.34756E+00  6.07627E-02  1.47951E-01 -3.09913E-02  1.22128E-01 -1.21564E-02  1.30212E-02  1.23049E-01 -4.79959E-02  5.50587E-03  1.48427E-02  1.09366E-01   -2341.19048747712
        -9924  1.70960E+00  1.57141E+00  6.50379E-01  2.29155E+00  6.65570E-02  1.56684E-01  2.82621E-03  1.09403E-01 -1.11796E-02 -6.60784E-03  1.26702E-01 -4.59058E-02 -2.39407E-02  2.47692E-02  1.30347E-01   -2372.09492933187
        -9923  1.62653E+00  1.58909E+00  7.05815E-01  2.37984E+00  7.09380E-02  1.54220E-01 -2.05854E-02  1.26168E-01  8.45046E-03 -2.07216E-02  1.09745E-01 -3.53822E-02 -8.90463E-03  1.26875E-02  1.12733E-01   -2350.87722389870
        -9922  1.65049E+00  1.60019E+00  6.87348E-01  2.37109E+00  6.69001E-02  1.31154E-01 -1.48294E-02  1.01417E-01 -1.15281E-02 -2.68216E-03  1.02494E-01 -3.38267E-02  2.18446E-03 -5.47041E-03  9.38935E-02   -2386.69906075725
        -9921  1.64297E+00  1.54359E+00  7.73834E-01  2.32640E+00  6.40498E-02  1.46753E-01 -1.53608E-02  9.12911E-02  3.90456E-03 -1.49041E-02  1.04426E-01 -4.08740E-02 -1.68471E-02 -1.88728E-02  1.15546E-01   -2345.96932427285
        -9920  1.61763E+00  1.53377E+00  7.27717E-01  2.34366E+00  5.97893E-02  1.26257E-01  5.05878E-03  1.14078E-01  8.79285E-03 -2.65074E-02  1.19175E-01 -4.17033E-02 -3.17640E-02 -2.51135E-02  1.63099E-01   -2381.36111827301
        -9919  1.64658E+00  1.55060E+00  7.06153E-01  2.32394E+00  6.18698E-02  1.29304E-01 -4.88376E-03  1.52042E-01  1.21807E-03 -3.03586E-02  8.36601E-02 -3.14358E-02 -8.02972E-03  3.01622E-03  1.36789E-01   -2312.66221847813
        -9918  1.68713E+00  1.50592E+00  6.53613E-01  2.38310E+00  6.46639E-02  1.44109E-01 -4.09960E-02  1.52699E-01  3.89846E-02 -4.82083E-02  1.48157E-01 -2.75709E-02 -2.85223E-02 -1.43196E-03  1.52952E-01   -2313.59028767768
